"id","title","author","genre_sugerido","confianca","assuntos_encontrados"
"40a164fa-8661-4c08-a1dc-82f616a47145","A Náusea","Jean-Paul Sartre","SEM SUGESTÃO","0",""
"a0d57016-7b8f-407f-bb2e-224979b28a12","A Origem das Especies","Charles Darwin","SEM SUGESTÃO","0",""
"ba49f06e-3d0b-45dd-a207-a56d8ee3eba8","A Paciente Silenciosa","Alex Michaelides","SEM SUGESTÃO","0",""
"581dc6e8-5980-4e0e-a679-b055ac1a3c9d","A Peste","Albert Camus","SEM SUGESTÃO","0",""
"64d87a1c-bf1c-4a2f-a356-50c68d3e108f","A Piada Mortal","Alan Moore","SEM SUGESTÃO","0",""
"639273f0-c986-4e88-97bc-2ad94382061b","A Piada Mortal","Alan Moore e Brian Bolland","SEM SUGESTÃO","0",""
"e3ae12b6-ddb6-4d29-8ab2-6e075a96daf7","A Psicologia Financeira","Morgan Housel","SEM SUGESTÃO","0",""
"181e8fc4-cd75-422e-8858-bcc5e06a2901","A Rainha Vermelha","Victoria Aveyard","SEM SUGESTÃO","0",""
"110e74cc-069e-42a8-b737-6a256f5a5735","A Rebeliao de Atlas","Ayn Rand","SEM SUGESTÃO","0",""
"de304340-5483-47f8-9bd2-fd6fedb170ba","A Republica","Platao","SEM SUGESTÃO","0",""
"e82e88b0-1a2b-45d1-ba4f-5ba8ea87ac2c","A Revolucao dos Bichos","George Orwell","SEM SUGESTÃO","0",""
"5f384882-f7ab-420a-9781-efc8d272a25f","A Seleção","Kiera Cass","SEM SUGESTÃO","0",""
"1275721e-1e9f-4531-b731-e8e464d4b018","A Sociedade do Anel","J.R.R. Tolkien","SEM SUGESTÃO","0",""
"97e337ff-26bf-49dc-98e7-53cfc2f9f38f","A Sociedade do Cansaco","Byung-Chul Han","SEM SUGESTÃO","0",""
"3d901026-00f9-4b2e-8439-da9fc0e3883b","A Startup Enxuta","Eric Ries","SEM SUGESTÃO","0",""
"57d869a4-303e-4ebc-bf88-d0b17c6e5932","A Sutil Arte de Ligar o Foda-se","Mark Manson","SEM SUGESTÃO","0",""
"b476bf84-a927-437f-8061-bdfb9ee025c9","A Troca","Victor LaValle","SEM SUGESTÃO","0",""
"8710eaff-50b7-4fbe-b96c-abd1f1783148","A Vida Invisivel de Addie LaRue","V.E. Schwab","SEM SUGESTÃO","0",""
"6806b5e4-6918-4482-a3be-cd1cd86c3b7c","A Volta do Parafuso","Henry James","SEM SUGESTÃO","0",""
"94d3e768-cfec-4996-9013-508f5850fa4c","Admiravel Mundo Novo","Aldous Huxley","SEM SUGESTÃO","0",""
"f3d7bba8-8255-48c0-9744-363c551b7ad6","Akira Vol. 1","Katsuhiro Otomo","HQs","3","Teenagers | Comic books, strips | Science fiction | Graphic novels | Comics & graphic novels, manga, science fiction | Japanese Science fiction"
"29c3e29e-0447-495a-9bf3-247799fc4cd3","Algoritmos para Viver","Brian Christian","SEM SUGESTÃO","0",""
"e7aba176-e168-4d89-a216-60f36d6158ae","Alice no Pais das Maravilhas","Lewis Carroll","SEM SUGESTÃO","0",""
"29eb600e-2336-4d04-b18c-76b3c76455f9","Amor e Gelato","Jenna Evans Welch","SEM SUGESTÃO","0",""
"45945530-8e9b-4534-a7d7-8abee24efa8a","Androides Sonham com Ovelhas Eletricas?","Philip K. Dick","SEM SUGESTÃO","0",""
"0271c373-ecaa-4488-85a8-c52ab2c9ea6c","Aniquilacao","Jeff VanderMeer","SEM SUGESTÃO","0",""
"c30c9771-f26b-4117-8450-69e6c21e1041","Anjos e Demonios","Dan Brown","SEM SUGESTÃO","0",""
"0989a64c-34b4-4a61-91b6-92a8986f99b7","Anna Karenina","Liev Tolstoi","SEM SUGESTÃO","0",""
"5d8b4c76-7e61-4a69-a609-cf46246634b9","Anna Karenina","Lev Tolstoi","SEM SUGESTÃO","0",""
"5982e787-0aef-4faf-ae9b-747e9127a1f3","Ansiedade: Como Enfrentar o Mal do Seculo","Augusto Cury","SEM SUGESTÃO","0",""
